Participant,Situation,RatingPlayer1,RatingPlayer2,ExperiencedOrder,Experiment
7,1,48,81,2,spinner
7,2,48,84,1,spinner
7,3,74,40,3,spinner
7,4,60,37,4,spinner
7,5,36,18,6,spinner
7,6,40,83,5,spinner
7,7,33,66,8,spinner
7,8,52,70,7,spinner
8,1,11,94,2,spinner
8,2,9,94,1,spinner
8,3,79,29,4,spinner
8,4,44,86,3,spinner
8,5,69,11,5,spinner
8,6,69,94,7,spinner
8,7,8,20,6,spinner
8,8,5,40,8,spinner
9,1,100,100,1,spinner
9,2,100,0,2,spinner
9,3,73,69,3,spinner
9,4,76,63,4,spinner
9,5,16,0,6,spinner
9,6,26,8,5,spinner
9,7,0,22,7,spinner
9,8,100,77,8,spinner
10,1,57,10,2,spinner
10,2,73,75,1,spinner
10,3,45,23,4,spinner
10,4,84,68,3,spinner
10,5,14,8,5,spinner
10,6,77,70,6,spinner
10,7,71,44,7,spinner
10,8,75,67,8,spinner
11,1,7,7,1,spinner
11,2,100,100,2,spinner
11,3,7,57,4,spinner
11,4,100,100,3,spinner
11,5,11,100,6,spinner
11,6,100,100,5,spinner
11,7,7,6,7,spinner
11,8,100,100,8,spinner
12,1,0,97,2,spinner
12,2,48,98,1,spinner
12,3,0,98,3,spinner
12,4,50,99,4,spinner
12,5,61,98,6,spinner
12,6,80,97,8,spinner
12,7,0,0,7,spinner
12,8,98,97,5,spinner
13,1,55,99,2,spinner
13,2,71,99,1,spinner
13,3,18,18,3,spinner
13,4,86,84,4,spinner
13,5,65,100,8,spinner
13,6,93,100,5,spinner
13,7,55,60,6,spinner
13,8,28,33,7,spinner
14,1,48,51,2,spinner
14,2,53,50,1,spinner
14,3,50,49,4,spinner
14,4,51,47,3,spinner
14,5,47,52,5,spinner
14,6,48,50,7,spinner
14,7,50,47,8,spinner
14,8,48,48,6,spinner
15,1,96,0,2,spinner
15,2,84,35,1,spinner
15,3,51,0,3,spinner
15,4,92,34,4,spinner
15,5,1,0,5,spinner
15,6,32,12,6,spinner
15,7,96,97,7,spinner
15,8,97,98,8,spinner
16,1,0,97,2,spinner
16,2,98,3,1,spinner
16,3,0,98,3,spinner
16,4,97,17,4,spinner
16,5,96,98,7,spinner
16,6,5,0,6,spinner
16,7,0,1,8,spinner
16,8,99,98,5,spinner
17,1,5,78,2,spinner
17,2,82,17,1,spinner
17,3,33,48,3,spinner
17,4,71,59,4,spinner
17,5,41,79,5,spinner
17,6,60,38,7,spinner
17,7,12,42,8,spinner
17,8,89,88,6,spinner
18,1,15,80,1,spinner
18,2,0,0,2,spinner
18,3,51,10,3,spinner
18,4,35,11,4,spinner
18,5,59,77,8,spinner
18,6,9,0,5,spinner
18,7,71,25,7,spinner
18,8,79,52,6,spinner
19,1,16,82,2,spinner
19,2,46,85,1,spinner
19,3,75,28,4,spinner
19,4,41,83,3,spinner
19,5,88,88,6,spinner
19,6,77,90,7,spinner
19,7,39,50,8,spinner
19,8,30,31,5,spinner
20,1,74,9,1,spinner
20,2,50,88,2,spinner
20,3,17,47,3,spinner
20,4,50,26,4,spinner
20,5,35,24,6,spinner
20,6,70,82,5,spinner
20,7,81,66,7,spinner
20,8,13,26,8,spinner
21,1,0,100,2,spinner
21,2,100,0,1,spinner
21,3,0,100,4,spinner
21,4,100,0,3,spinner
21,5,100,100,7,spinner
21,6,0,0,8,spinner
21,7,0,0,5,spinner
21,8,100,100,6,spinner
22,1,0,75,2,spinner
22,2,48,0,1,spinner
22,3,35,20,3,spinner
22,4,44,28,4,spinner
22,5,39,100,7,spinner
22,6,37,64,8,spinner
22,7,0,13,6,spinner
22,8,22,61,5,spinner
23,1,0,100,1,spinner
23,2,0,100,2,spinner
23,3,26,62,4,spinner
23,4,24,74,3,spinner
23,5,77,100,6,spinner
23,6,69,100,5,spinner
23,7,0,69,7,spinner
23,8,0,21,8,spinner
24,1,12,82,1,spinner
24,2,85,7,2,spinner
24,3,0,63,3,spinner
24,4,86,9,4,spinner
24,5,71,95,7,spinner
24,6,10,0,6,spinner
24,7,0,13,5,spinner
24,8,93,0,8,spinner
25,1,0,100,1,spinner
25,2,96,0,2,spinner
25,3,31,84,4,spinner
25,4,75,58,3,spinner
25,5,55,100,7,spinner
25,6,56,16,5,spinner
25,7,9,33,8,spinner
25,8,100,69,6,spinner
26,1,56,17,2,spinner
26,2,40,63,1,spinner
26,3,17,21,3,spinner
26,4,85,80,4,spinner
26,5,44,65,6,spinner
26,6,78,76,8,spinner
26,7,39,28,5,spinner
26,8,68,67,7,spinner
27,1,0,100,2,spinner
27,2,83,0,1,spinner
